,Codigo,Descripcion,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
238,00034000,GOMA ESPONJA 20X40                                                                                  ,,11/03/2013,,N,,
239,00034001,GOMA ESPONJA 20X50                                ,25/11/2019,09/12/2021,,N,,
240,00034002,GOMA ESPONJA 20X51                                                                                  ,,,,,,
241,00034003,GOMA ESPONJA 25X25                                                                                  ,,20/01/2017,,N,,
242,00034004,GOMA ESPONJA 25X30                                                                                  ,,07/04/2016,,N,,
243,00034005,GOMA ESPONJA 25X38                                                                                  ,,,,,,
244,00034006,GOMA ESPONJA 25X70                                                                                  ,,,,,,
245,00034007,GOMA PISO ESTOPEROL 1.00M (20 MTSX ROLLO)         ,13/12/2022,02/02/2023,S,N,S,N
246,00034008,GOMA PISO ESTRIA FINA 3MMX1.0MT                   ,10/10/2020,02/06/2022,S,N,N,
247,00034009,GOMA PISO ESTOPEROL 1.50 MT                       ,06/12/2016,05/06/2021,S,N,N,N
248,00034010,GOMA PISO ESTOPEROL NEG 3MM X 1.60 MT             ,10/02/2022,11/02/2022,S,N,,
249,00034011,GOMA PISO ESTRIADO 1.00 MT ANCHO (20MTS ROLLO)    ,13/12/2022,25/01/2023,S,N,N,N
250,00034012,GOMA PISO ESTRIADO 1.30 MT ANCHO (ROLLO 20MTS)                                                      ,,,S,,,
251,00034964,VINILICO C/LINEA 1 MT.                                                                              ,,,S,,,
252,00034965,VINILICO C/TOPEROL LENT. 1 MT.                                                                      ,,,S,,,
253,00034966,VINILICO C/TOPEROL LENT. 1.20 MT                                                                    ,,,S,,,
254,00034967,VINILICO C/TOPEROL RED. 1 MT.                                                                       ,,,S,,,
